subject_code,target_i,target_j,template_i,template_j,di,dj,C0_x,C0_y,Cmid_x,Cmid_y,C20_x,C20_y,ray_count,shifted_curve,geometry_npz,debug_png,centers_txt
63,159,248,166,266,-7,-18,96,59,248,159,96,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_63.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/63/rotation_geometry_63.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/63/rotation_debug_63.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/63/rotation_centers_63.txt
66,157,235,166,266,-9,-31,83,57,235,157,83,256,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_66.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/66/rotation_geometry_66.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/66/rotation_debug_66.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/66/rotation_centers_66.txt
67,167,219,166,266,1,-47,67,67,219,167,67,266,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_67.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/67/rotation_geometry_67.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/67/rotation_debug_67.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/67/rotation_centers_67.txt
69,164,242,166,266,-2,-24,90,64,242,164,90,263,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_69.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/69/rotation_geometry_69.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/69/rotation_debug_69.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/69/rotation_centers_69.txt
73,171,261,166,266,5,-5,109,71,261,171,109,270,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_73.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/73/rotation_geometry_73.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/73/rotation_debug_73.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/73/rotation_centers_73.txt
76,172,234,166,266,6,-32,82,72,234,172,82,271,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_76.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/76/rotation_geometry_76.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/76/rotation_debug_76.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/76/rotation_centers_76.txt
85,159,234,166,266,-7,-32,82,59,234,159,82,258,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_85.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/85/rotation_geometry_85.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/85/rotation_debug_85.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/85/rotation_centers_85.txt
88,166,218,166,266,0,-48,66,66,218,166,66,265,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_88.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/88/rotation_geometry_88.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/88/rotation_debug_88.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/88/rotation_centers_88.txt
89,155,263,166,266,-11,-3,111,55,263,155,111,254,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_89.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/89/rotation_geometry_89.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/89/rotation_debug_89.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/89/rotation_centers_89.txt
100,166,242,166,266,0,-24,90,66,242,166,90,265,576,/home/alphayoung8/log1/nebla/simpx_renderer/shifted_curves/shifted_curve_100.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/100/rotation_geometry_100.npz,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/100/rotation_debug_100.png,/home/alphayoung8/log1/nebla/simpx_renderer/center_geometries/100/rotation_centers_100.txt
